Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD I
1-alpha,24R,25-Trihydroxyvitamin D2	KRGCLKZOZQUAFK-ODIZWMGWSA-N		HMDB06227			LMST03010051
calcitetrol	WFZKUWGUJVKMHC-LFGNEKGJSA-N	47799	HMDB06228	C18231		LMST03020686
1-alpha,25-Dihydroxyvitamin D2	ZGLHBRQAEXKACO-WROXZXEWSA-N		HMDB06225			
calcitriol	GMRQFYUYWCNGIN-ZVUFCXRFSA-N	17823	HMDB01903	C01673	5280453	LMST03020258
1-acyl-sn-glycerol 3-phosphate(2-)		57970				
1 acyl phosphoglycerol						
1-methylnicotinamide	LDHMAVIPBRSVRG-UHFFFAOYSA-O	16797	HMDB00699	C02918	457	
1-methylpyrrolinium	FDWZAOGDOVQOLD-UHFFFAOYSA-N	27435		C06178	440932	
1-pyrroline-2-carboxylate	RHTAIKJZSXNELN-UHFFFAOYSA-N	36761	HMDB06875	C03564	440046	
L-1-Pyrroline-3-hydroxy-5-carboxylate	WFOFKRKDDKGRIK-DMTCNVIQSA-N	6151	HMDB01369	C04281	11966267	
1-piperideine-2-carboxylate	GEJXSVNGWOSZPC-UHFFFAOYSA-N	30912	HMDB01084	C04092		
1-Pyrroline-5-carboxylate	DWAKNKKXGALPNW-UHFFFAOYSA-N	1372	HMDB01301	C04322	1196	
20-hydroxycholesterol	MCKLJFJEQRYRQT-APGJSSKUSA-N	1296	HMDB06283	C05500	121935	LMST01010201
2',3'-cyclic UMP(1-)	HWDMHJDYMFRXOX-XVFCMESISA-N	28637	HMDB11640	C02355	439715	
(4R,5S)-4,5,6-trihydroxy-2,3-dioxohexanoate	GJQWCDSAOUMKSE-STHAYSLISA-N	15622	HMDB05971	C04575	440390	LMFA01060195
2,3-bisphosphonato-D-glycerate(5-)	XOHUEYCVLUUEJJ-UWTATZPHSA-N	17720	HMDB01294	C01159		
24R,25-Dihyoxyvitamin D2	BPEQZNMKGFTMQE-DXYROGBQSA-N					
(24R)-24,25-dihydroxycalciol	FCKJYANJHNLEEP-SUUCIXNTSA-N	28818				LMST03020273
2-hydroxy-4-nitrophenolate	XJNPNXSISMKQEX-UHFFFAOYSA-N	16318	HMDB02916	C02235		
(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	NAQGHJTUZRHGAC-ZZZDFHIKSA-N	58443	HMDB00797	C04823	160666	
25-Hydroxyvitamin D2	KJKIIUAXZGLUND-WYBYICLWSA-N		HMDB01438			LMST03010030
calcidiol	JWUBBDSIWDLEOM-DLBXBJKMSA-N	17933	HMDB03550	C01561		LMST03020246
2-aminoacrylic acid	UQBOJOOOTLPNST-UHFFFAOYSA-N	17123	HMDB03609	C02218		
(2-Aminoethyl)phosphonate	QQVDJLLNRSOCEL-UHFFFAOYSA-N	15573	HMDB11747	C03557	339	
L-2-amino-3-oxobutanoic acid	SAUCHDKDCUROAO-VKHMYHEASA-N	40673	HMDB06454	C03508	440033	LMFA01060172
2-Carboxy-2,3-dihydro-5,6-dihydroxyindole	JDWYRSDDJVCWPB-LURJTMIESA-N	60872	HMDB04067	C05604	161255	
cis-2-coumarate	PMOWTIHVNWZYFI-UHFFFAOYSA-N	28873		C05838	5280841	
2,6-dodecadienoylcoa	ZSJRXHRCABOSNC-XRUZZFSQSA-N		HMDB11123	C05279	53480665	
2,7-decadienoylcoa						
2,7,10,13,16,19-docosahexenoylcoa						
2,7,10,13,16-docosapentenoylcoa						
2,6,9-dodecatrienoylcoa						
2-Decaprenyl-6-methoxyphenol	FYLLWSGFAAQKHU-UHFFFAOYSA-N	50774				
2-decaprenyl-6-methoxy-1,4-benzoquinone	POYJNCVGTDCCPK-UHFFFAOYSA-N	50773				LMPR02010033
2-decaprenyl-6-methoxy-3-methyl-1,4-benzoquinone	DLBRMPAESNEOJM-UHFFFAOYSA-N	50772				LMPR02010032
2-decaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone	ONGWDJKIJUAIOD-UHFFFAOYSA-N	50771	HMDB06484			LMPR02010031
2-Deoxy-D-ribose 1-phosphate	KBDKAJNTYKVSEK-PYHARJCCSA-N	28542	HMDB01351	C00672	5460448	
2-deoxy-D-ribose 5-phosphate(2-)	ALQNUOMIEBHXQG-CRCLSJGQSA-N	16132	HMDB01031	C00673	45934311	
2-Hydroxybutyrate	AFENDNXGAFYKQO-UHFFFAOYSA-N	1148	HMDB00008	C05984		LMFA01050004
2,7,10,13-hexadecatetraenoylcoa						
2,7,10-hexadecatrienoylcoa						
2-Hydroxyphenylacetate	CCVYRRGZDBSHFU-UHFFFAOYSA-N	28478	HMDB00669	C05852	11970	
2-keto-4-methylthiobutyrate	SXFSQZDSUWACKX-UHFFFAOYSA-N	33574	HMDB01553	C01180		LMFA01060170
2-methylacetoacetyl-CoA(4-)	NHNODHRSCRALBF-NQNBQJKNSA-N	15476	HMDB01157	C03344		
2-methylcrotonoyl-CoA(4-)	PMWATMXOQQZNBX-DJVIHCHSSA-N	57337	HMDB02054	C03345	5280564	
2-methylbutanoyl-CoA(4-)	LYNVNYDEQMMNMZ-XGXNYEOVSA-N	15477	HMDB01041	C01033		
(Z)-but-2-ene-1,2,3-tricarboxylate	NUZLRKBHOBPTQV-UHFFFAOYSA-N	16717	HMDB06357	C04225	3080625	
2-methylcitrate(3-)	YNOXCRMFGMSKIJ-UHFFFAOYSA-N	30835	HMDB00379			
2-methyl-3-oxopropanoate	VOKUMXABRRXHAR-UHFFFAOYSA-N	16256	HMDB01172	C00349	296	LMFA01060193
2-Methylprop-2-enoyl-CoA	NPALUEYCDZWBOV-NDZSKPAWSA-N	27754	HMDB01011	C03460		
S-(2-Methylpropanoyl)-dihydrolipoamide	UEFURMXXHJCLJP-UHFFFAOYSA-N	17577	HMDB06868	C04424	11953835	
