Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD I
adrenoyl-CoA	QKBTYZDPVNTERQ-IKNWWIGSSA-N					
2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA	AVRCOFDAWHWKMB-XMLSFASZSA-N					
3(S)-hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA	JHXLRLHTJYMVBK-RERJGFAQSA-N					
3(S)-hydroxy-tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA	NNEPPYNERZEJEE-UPRGOYRGSA-N					
3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA	VMAJWSSWCPBIJY-IKNWWIGSSA-N					
3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA	WSALICWLARPULC-XMLSFASZSA-N					
2E,7Z,10Z,13Z,16Z-docosapentaenoyl-CoA	XSIBQUOFLNIVEK-IKNWWIGSSA-N					
tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA	XZYNVQDKYRHKFG-XMLSFASZSA-N					
tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA	OKOXEYTYHDPTEW-XMLSFASZSA-N					
trans-2-all-cis-6,9,12,15,18-tetracosahexaenoyl-CoA	UYOKHWFEUAJFMG-XMLSFASZSA-N					
6,9,12,15,18-all-cis-tetracosapentaenoate	VENRYLMOFDSSDJ-UHFFFAOYSA-N		HMDB06322		14505435	LMFA01030820
(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA	MNTSLNSVZACNCX-BCZLVAJXSA-N					
3-oxoeicosa-cis,cis-11,14-dienoyl-CoA	PUWDUOCPCWFEFG-XTSUOFIPSA-N					
trans,cis,cis-2,11,14-eicosatrienoyl-CoA	JLHULLPFTGLIGF-XTSUOFIPSA-N					
cis,cis-11,14-eicosadienoyl-CoA	YCKYOUVXZZJCIU-XTSUOFIPSA-N					
3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA	SHYOGNDOVWXSLL-RERJGFAQSA-N					
3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA	GPKHWNMCLWDFOL-IKNWWIGSSA-N					
trans,cis,cis,cis-2,10,13,16-docosatetraenoyl-CoA	KFIUKMFBVDDVDZ-IKNWWIGSSA-N					
cis,cis,cis-10,13,16-docosatrienoyl-CoA	NRFSUEZXHDEQRO-IKNWWIGSSA-N					
3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA	DALQBBQTVPOKDP-RERJGFAQSA-N					
3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	VYZWWTGHKBYTPF-UPRGOYRGSA-N					
3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA	MUBUSEARPWRSQN-IKNWWIGSSA-N					
3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	HPMVBGKWFWCZAY-XMLSFASZSA-N					
trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA	YGPXPVHOFOFFGA-IKNWWIGSSA-N					
trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA	PJWUUOREXKKLME-XMLSFASZSA-N					
all-cis-10,13,16,19-docosatetraenoyl-CoA	BEEQBBPNTYBGDP-IKNWWIGSSA-N					
all-cis-12,15,18,21-tetracosatetraenoyl-CoA	LLJDAYKOCIXVML-XMLSFASZSA-N					
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al	USFJGINJGUIFSY-LPKCEUGUSA-N					
5beta-cholestane-3alpha,7alpha,12alpha,27,27-pentaol	ISDIRLRPWGRAHM-YIJMXLABSA-N					
delta12-Prostaglandin J2	TUXFWOHFPFBNEJ-IRXDYDNUSA-N				114678	
15-deoxy-prostaglandin J2	VHRUMKCAEVRUBK-KRWDZBQOSA-N	607727	HMDB05079	C14717	404025	LMFA03010021
nitryl chloride	NXRVFVBNLWGOCL-UHFFFAOYSA-N				13932711	
dopaminochrome	SGNZYJXNUURYCH-UHFFFAOYSA-N	27404	HMDB04058	C05578	114683	
N-methylsalsolinol	RKMGOUZXGHZLBJ-ZETCQYMHSA-N		HMDB03892		124148	
13'-carboxy-gama-tocopherol	WPZHQZIUOXUCOK-HCWODPKDSA-N		HMDB12557		53481463	
N-acetyl-leukotriene E4	BGGYAYMMFYBWEX-ZLNRFVROSA-N		HMDB05084	C11361	53477792	LMFA03020008
isovalerylglycine	ZRQXMKMBBMNNQC-UHFFFAOYSA-N	70984	HMDB00678		546304	
isobutyrylglycine	DCICDMMXFIELDF-UHFFFAOYSA-N	70979	HMDB00730		10855600	
2-methylbutyrylglycine	HOACIBQKYRHBOW-UHFFFAOYSA-N	240943	HMDB00339		193872	
Prostaglandin PGE2 glyceryl ester	HJWDPZIOTMUWRW-RJJVWVDVSA-N		HMDB13045		53481593	
10,11-dihydro-leukotriene B4	NKUPFHTVILUPKF-OALUTQOASA-N		HMDB12504		53481449	
10,11-dihydro-12-epi-leukotriene B4	NKUPFHTVILUPKF-OALUTQOASA-N					
20-OH-10,11-dihydro-leukotriene B4	XDXPWMISTPZJGX-OALUTQOASA-N					
12-oxo-leukotriene B4	SJVWVCVZWMJXOK-IBGZPJMESA-N	27814	HMDB04234	C05949	5280876	LMFA03020024
10,11-dihydro-12R-hydroxy-leukotriene C4	GULYHEJDDHEDJT-VMAPGKTHSA-N					
14-hydroxy-4,14-retro-retinol	PCRZONNRANOQPA-UHFFFAOYSA-N				6449967	
anhydroretinol	FWNRILWHNGFAIN-UHFFFAOYSA-N	793340			5287678	
13,14-dihydroxy-retinol	IPJVXOBBCWHWMP-UHFFFAOYSA-N					
alpha-tocopheryl hydroquinone	JOURHZSBLWSODQ-SIPOYVIUSA-N					
alpha-tocopheryl quinone	LTVDFSLWFKLJDQ-SIPOYVIUSA-N				24205	
5-S-glutathionyl-dopamine	YTAAHCYRCMYQCJ-MNOVXSKESA-N					
5-S-glutathionyl-L-DOPA	QPUCCRKMCAEIND-VWYCJHECSA-N					
one carbon unit		50728				
2-methylglutaconic acid	JKGHDBJDBRBRNA-UHFFFAOYSA-N		HMDB02266		193896	LMFA01170079
21-hydroxyallopregnanolone	CYKYBWRSLLXBOW-KGRLHAKYSA-N	805752	HMDB00879	C13713	101771	LMST05030013
1alpha-hydroxy-23-carboxy-24,25,26,27-tetranorvitamin D3	MBLYZRMZFUWLOZ-HUMJDSGLSA-N					
N-acetyl-L-cystathionine	QWACVTVBTRSCRL-RNFRBKRXSA-N					
1-phosphatidyl-1D-myo-inositol 5-phosphate(3-)		57795				
trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA	WQDZFNIBNFNRLF-XTSUOFIPSA-N					
trans-3-cis-5,8,11,14-eicosapentaenoyl-CoA	PHIGJHMEMQBUMA-XTSUOFIPSA-N					
trans-3-cis-8,11,14-eicosatetraenoyl-CoA	NMDSFUNRXZNGPT-XTSUOFIPSA-N					
(3E,5Z,8Z)-tetradecatrienoyl-CoA	FXHAQFYRGXSRHS-CSQGFUHOSA-N		HMDB12472		53481421	
trans-2-cis,cis-4,8-tetradecatrienoyl-CoA	UNKYOAASBNXUKG-CSQGFUHOSA-N					
trans-3-cis-8-tetradecadienoyl-CoA	IHYQVHHPNVFYHJ-CSQGFUHOSA-N					
trans-2-cis-8-tetradecadienoyl-CoA	SLIJUARARQEXRE-CSQGFUHOSA-N					
trans-3-decenoyl-CoA	CQGVNMQHZQJNII-KIRVJFPLSA-N	29126	HMDB02137		16019966	
3(S)-phytanoyl-CoA	NRJQGHHZMSOUEN-XGBGSCKBSA-N					
3(S)-2-hydroxyphytanoyl-CoA	WNVFJMYPVBOLKV-GBKROSJZSA-N	15475	HMDB01295	C07343	441263	
(2S)-pristanoyl-CoA	XYJPSQPVCBNZHT-JZMGYAFSSA-N					
(2R)-pristanoyl-CoA	XYJPSQPVCBNZHT-JZMGYAFSSA-N					
1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)		57923				
12-oxo-20-hydroxy-leukotriene B4	CZWPUWRHQBAXJS-IBGZPJMESA-N		HMDB12552		53481459	
12-oxo-20-dihydroxy-leukotriene B4	SBSLZLBZGOASJL-SFHVURJKSA-N		HMDB12551		53481458	
12-oxo-20-trihydroxy-leukotriene B4	QVZXILIWUPKGPA-SFHVURJKSA-N		HMDB12553		53481460	
12,20-dioxo-leukotriene B4	CPTWPKCLDUXOKW-LJQANCHMSA-N					
3-oxo-11-cis-eicosenoyl-CoA	ASKKPQKSCFYPPP-XTSUOFIPSA-N					
3(S)-hydroxy-11-cis-eicosenoyl-CoA	PREOMQKNJXWCLZ-BCZLVAJXSA-N					
trans,cis-2,11-eicosadienoyl-CoA	LAECEUXZOONXDY-XTSUOFIPSA-N					
11-cis-eicosenoyl-CoA	ZDRKXADSROCWCG-XTSUOFIPSA-N					
3-oxo-13cis-docosenoyl-CoA	TWKFVJBYYSLPHE-IKNWWIGSSA-N					
3(S)-hydroxy-13cis-docosenoyl-CoA	FIPHCVZAQUEADL-RERJGFAQSA-N					
trans,cis-2,13-docosadienoyl-CoA	UYOUIGJQABBRNN-IKNWWIGSSA-N					
cis-13-docosenoyl-CoA	OWGHRDKRIGXBJM-IKNWWIGSSA-N					
3-oxo-cis-15-tetracosaenoyl-CoA	OYATWRUGHUAXMW-XMLSFASZSA-N					
3(S)-hydroxy-cis-15-tetracosaenoyl-CoA	SOQFCYAWKYIIHN-UPRGOYRGSA-N					
trans,cis-2,15-tetracosadienoyl-CoA	VXYLAQGCUVCPNJ-XMLSFASZSA-N					
cis-15-tetracosenoyl-CoA	QHZAQVTVYPHLKK-XMLSFASZSA-N					
3-oxo-cis-9-octadecenoyl-CoA	AVEYYKDEKGJVBU-UNAKSKPRSA-N					
3(S)-hydroxy-cis-9-octadecenoyl-CoA	LHAYYTCFPMUQNR-FQDOHAFRSA-N					
trans,cis-2,9-octadecadienoyl-CoA	REOYMONHGHULEY-UNAKSKPRSA-N					
25(R)-trihydroxycoprostanoyl-CoA	MNYDLIUNNOCPHG-UTVLOCCKSA-N					
25(S)-trihydroxycoprostanoyl-CoA	MNYDLIUNNOCPHG-UTVLOCCKSA-N	15493	HMDB02178	C05448	15942872	
24(R),25(R)-varanoyl-CoA	PXHZOQNODUPJKC-GKIAFXIOSA-N					
24-oxo-25(R)-trihydroxycoprostanoyl-CoA	AWLXQJGPNLCTLM-VZYFUWEHSA-N	27379	HMDB06891	C05467	440690	
5-oxo-6-trans-leukotriene B4	MLZJFLKEKVDNAZ-GOSISDBHSA-N		HMDB12824		53481526	
6,7-dihydro-5-oxo-leukotriene B4	RUTQOBJLGHUCJC-GOSISDBHSA-N					
O2'-4a-cyclic-tetrahydrobiopterin	JZTDUNXDDUJXRZ-IPXZDEKYSA-N		HMDB13031		53481588	
2-hydroxy-17beta-estradiol-4-S-glutathione	RCTUXLCVWTYQMR-AGFNSGRBSA-N					
2-hydroxyestrone-4-S-glutathione	ZKSQMGPMDHYFMB-LCOBOIQCSA-N		HMDB12624		53481502	
2-hydroxy-17beta-estradiol-1-S-glutathione	RJWRZPLAJHOFTD-JDLFSZKWSA-N					
2-hydroxyestrone-1-S-glutathione	DGWRLJJHHOOYBF-KBPAMUMTSA-N		HMDB12623		53481501	
4-hydroxy-17beta-estradiol-2-S-glutathione	ARFSXJIGVSWGDY-AGFNSGRBSA-N					
4-hydroxyestrone-2-S-glutathione	UKCFCQKNUGHMIT-LCOBOIQCSA-N		HMDB12780		53481521	
17beta-estradiol-3,4-quinone	XVPUMLOTNZVTSL-BLNOFITASA-N					
17beta-estradiol-2,3-quinone	LBSRSXWOMYPVBY-LRDWQAQRSA-N					
estrone-3,4-quinone	REMSDZFYMQQJFD-LSIMKLPESA-N		HMDB12942		114862	
estrone-2,3-quinone	WFPLOQDPWXNOST-WKZPIUISSA-N		HMDB12941		148381	
17beta-estradiol-3,4-semiquinone						
17beta-estradiol-2,3-semiquinone						
estrone-3,4-semiquinone						
estrone-2,3-semiquinone						
3,4-dihydro-1,4-benzothiazine-3-carboxylate	ACUWXAUSGNGBKQ-RNFRBKRXSA-N					
3,5-dihydroxy-3,4-dihydro-1,4-benzothiazine	SPQSSVXRGGWWIP-VJSCVCEBSA-N					
dopamine o-quinone	PQPXZWUZIOASKS-UHFFFAOYSA-N		HMDB12219	C17755	162602	
aminochrome o-semiquinone	SUOKBNMHVMNQDG-UHFFFAOYSA-N					
dopachrome o-semiquinone	YHAPBGUGQAHLME-ZCFIWIBFSA-N		HMDB12931		53481550	
15-deoxy-PGD2	QUGBPWLPAUHDTI-PKOBYXMFSA-N				5283052	LMFA03010051
3(S),6(R)-dihydroxy-tetradec-8Z-enoate	OUPAWBIIPPCTBK-OLZOCXBDSA-N					
3(S),8(R)-dihydroxy-6E,10Z-hexadecadienoate	XUYMRSHCNSDJAN-CABCVRRESA-N					
3-oxo-10(R)-hydroxy-octadeca-6E,8E,12Z-trienoate	DASVGFACDRAZQR-MRXNPFEDSA-N					
3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate	JVEAMJNRAYIMIF-GFCCVEGCSA-N					
3-oxo-8(R)-hydroxy-hexadeca-6E,10Z-dienoate	NWVJXHCRPZDUPG-CQSZACIVSA-N					
4(R)-hydroxy-dodec-6Z-enoate	CEFZHZYOVDYOOX-LLVKDONJSA-N					
6(R)-hydroxy-tetradeca-2E,4E,8Z-trienoate	QUFPURXOBLGZGX-CYBMUJFWSA-N					
6(R)-hydroxy-tetradeca-2E,8Z-dienoate	VQWQOPHSYMUQTK-CYBMUJFWSA-N					
6(R)-hydroxy-tetradeca-4E,8Z-dienoate	YUXIINYOKQBAER-CYBMUJFWSA-N					
8(R)-hydroxy-hexadeca-2E,4E,6E,10Z-tetraenoate	TVMLJOGNECRAAY-OAHLLOKOSA-N					
8(R)-hydroxy-hexadeca-2E,6E,10Z-trienoate	IJVWUUQYBXXWDO-OAHLLOKOSA-N					
8(R)-hydroxy-hexadeca-4E,6E,10Z-trienoate	KBOVKDIBOBQLRS-OAHLLOKOSA-N				6610221	
3(S),6(S)-dihydroxy-tetradec-8Z-enoate	OUPAWBIIPPCTBK-OLZOCXBDSA-N					
3(S),8(S)-dihydroxy-6E,10Z-hexadecadienoate	XUYMRSHCNSDJAN-CABCVRRESA-N					
3-oxo-10(S)-hydroxy-octadeca-6E,8E,12Z-trienoate	DASVGFACDRAZQR-MRXNPFEDSA-N					
3-oxo-6(S)-hydroxy-tetradec-8Z-enoate	JVEAMJNRAYIMIF-GFCCVEGCSA-N					
3-oxo-8(S)-hydroxy-hexadeca-6E,10Z-dienoate	NWVJXHCRPZDUPG-CQSZACIVSA-N					
4(S)-hydroxy-dodec-6Z-enoate	CEFZHZYOVDYOOX-LLVKDONJSA-N					
6(S)-hydroxy-tetradeca-2E,4E,8Z-trienoate	QUFPURXOBLGZGX-CYBMUJFWSA-N					
6(S)-hydroxy-tetradeca-2E,8Z-dienoate	VQWQOPHSYMUQTK-CYBMUJFWSA-N					
6(S)-hydroxy-tetradeca-4E,8Z-dienoate	YUXIINYOKQBAER-CYBMUJFWSA-N					
8(S)-hydroxy-hexadeca-2E,4E,6E,10Z-tetraenoate	TVMLJOGNECRAAY-OAHLLOKOSA-N					
8(S)-hydroxy-hexadeca-2E,6E,10Z-trienoate	IJVWUUQYBXXWDO-OAHLLOKOSA-N					
8(S)-hydroxy-hexadeca-4E,6E-10Z-trienoate	KBOVKDIBOBQLRS-OAHLLOKOSA-N				6610221	
3(S),12(S)-dihydroxy-5-oxo-eicosa-8E,10E,14Z-trienoyl-CoA	MTOULHSNAKRXGD-YCGRRFPFSA-N					
3,5-dioxo-12(S)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA	KPSNLEVFRZBSQC-FFBVUHOJSA-N					
3-oxo-10(S)-hydroxy-octadeca-6E,8E,12Z-trienoyl-CoA	SVVDPRGQCCIAMF-DAPQIYONSA-N					
5-oxo-12(S)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA	JAXQYBDKEXQEIO-GJQNRNMWSA-N					
5-oxo-12(S)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA	SMWLNBURDHTIJO-GJQNRNMWSA-N					
6,7-dihydro-5-oxo-12-epi-leukotriene B	RUTQOBJLGHUCJC-GOSISDBHSA-N					
3(S),12(R)-dihydroxy-5-oxo-eicosa-8E,10E,14Z-trienoyl-CoA	MTOULHSNAKRXGD-YCGRRFPFSA-N					
3,5-dioxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA	KPSNLEVFRZBSQC-FFBVUHOJSA-N					
3-oxo-10(R)-hydroxy-octadeca-6E,8E,12Z-trienoyl-CoA	SVVDPRGQCCIAMF-DAPQIYONSA-N					
5-oxo-12(R)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA	JAXQYBDKEXQEIO-GJQNRNMWSA-N					
5-oxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA	SMWLNBURDHTIJO-GJQNRNMWSA-N					
5-oxo-6E-12-epi-leukotriene B4	MLZJFLKEKVDNAZ-GOSISDBHSA-N					
6,7-dihydro-leukotriene B4	ZMZNVSWCIRFLBV-MOPGFXCFSA-N					
(R)-2-hydroxy-4-methylpentanoate	LVRFTAZAXQPQHI-RXMQYKEDSA-N	55534	HMDB00624	C03264	439960	LMFA01050402
12-oxo-20-carboxy-leukotriene B4	VLMCDTMNMDDMLC-SFHVURJKSA-N		HMDB12550		53481457	
13-oxy radical-octadecadienoate	SGZUZQZFBXIRKL-UHFFFAOYSA-N					
12,13-epoxylinoleic acid radical	KAQZXMRGPQCJTK-UHFFFAOYSA-N					
12,13-epoxy-9-alkoxy-10E-octadecenoate	FILPLNYDXWIUGJ-UHFFFAOYSA-N					
7alpha,27-dihydroxycholesterol	RXMHNAKZMGJANZ-DTTSCKGMSA-N	18431	HMDB06281	C06341	440985	LMST04030081
12-oxo-c-LTB3	ZFHPYBQKHVEFHO-VPBXCIAMSA-N					
9,11-cycloperoxy-15-hydroperoxy-5Z,13E-eicosadienoate	SGUKUZOVHSFKPH-WRDXCJKLSA-N					
9,11-cycloperoxy-5-hydroperoxy-6E,14Z-eicosadienoate	QPLJAGNIJZAPRJ-QHIRMHHVSA-N					
9-peroxy-5Z,7E,11Z,14Z-eicosatetraenoate	LUNSZADIOHDKBX-UHFFFAOYSA-N					
adrenochrome	RPHLQSHHTJORHI-UHFFFAOYSA-N	838058	HMDB12884		5898	
11-peroxy-5Z,8Z,12E,14Z-eicosatetraenoate	CUVDHYYMVDOGDE-UHFFFAOYSA-N					
noradrenochrome	PTQNKGWWIYGAAE-UHFFFAOYSA-N		HMDB13030		10176277	
adrenochrome o-semiquinone	YNKQTALYBHMWCC-UHFFFAOYSA-N		HMDB12883		10313383	
noradrenochrome o-semiquinone	OHRTXTGCGQYCMB-UHFFFAOYSA-N		HMDB13029		53481587	
5-S-glutathionyl-dopachrome hydroquinone	OKIPDFKDQBFUGS-IEBDPFPHSA-N					
5-S-glutathionyl-aminochrome reduced	OWLBFEJNNSEXED-KOLCDFICSA-N					
5-S-glutathionyl-adrenochrome hydroquinone	UMHIHIHOPWDCAG-RLBMWQAVSA-N					
5-S-glutathionyl-noradrenochrome hydroquinone	XTLRYYYPDRZRCW-HTDYCOQPSA-N					
glycolithocholate	XBSQTYHEGZTYJE-OETIFKLTSA-N	37998	HMDB00698	C15557	115245	LMST05030009
N-[(E)-4-ammoniobutylidene]propane-1,3-diaminium	YAVLYBVKPXLZEQ-UHFFFAOYSA-N	58732			23657850	
deoxyhypusine	PGPFBXMCOQNMJO-VIFPVBQESA-N	50038	HMDB11150		122083	
4-OH-13-cis-retinal	NCIHLRCJOBKKAL-UHFFFAOYSA-N					
4-OH-9-cis-retinal	NCIHLRCJOBKKAL-UHFFFAOYSA-N					
4-OH-retinal	NCIHLRCJOBKKAL-UHFFFAOYSA-N		HMDB12788		14015984	
9,13-cis-retinoate	SHGAZHPCJJPHSC-UHFFFAOYSA-N	15367	HMDB12874	C00777	6419708	LMPR01090023
salsolinol 1-carboxylate	XHGLVMDBZZZXDP-UHFFFAOYSA-N		HMDB13068		100185	
salsoline-1-carboxylate	CJEFWISJWQNPSZ-UHFFFAOYSA-N		HMDB13067		320322	
1,2-dehydrosalsolinol	DWHSGRLKLUGKOU-UHFFFAOYSA-N	193796	HMDB12490			
peroxynitrite	CMFNMSMUKZHDEY-UHFFFAOYSA-N	25941	HMDB02179	C16845	123349	
4-oxo-9-cis-retinoate	YOFBBAJVETYSCH-UHFFFAOYSA-N				54518673	
4-oxo-13-cis-retinoate	YOFBBAJVETYSCH-UHFFFAOYSA-N		HMDB12789		9995780	
13'-hydroxy-gama-tocopherol	QNBPVJMQPAQXML-LQQQDGNYSA-N		HMDB12561		53481467	
lipoyl-AMP(1-)	QWEGOCJRZOKSOE-NLJBGGCZSA-N	55451		C16238	23724672	
15-oxo-lipoxin A4	KMQGFEBCBYXSPZ-RTBURBONSA-N		HMDB12590		53481477	
13,14-dihydro-15-oxo-lipoxin A4	FPRPRBFSKMFXRV-RTBURBONSA-N		HMDB12564		53481470	
leukoaminochrome	VGSVNUGKHOVSPK-UHFFFAOYSA-N		HMDB12992	C17756	147311	
1,4-benzothiazine-o-quinonimine	NANJICKTJNNTGA-RQJHMYQMSA-N		HMDB12491		53481441	
12-hydroperoxyeicosatetraenoate glyceryl ester	DRKQAMJEQFTELM-NRFANRHFSA-N					
Prostaglandin PGE2 1-glyceryl ester	RJXVYMMSQBYEHN-UTNFEIGLSA-N		HMDB13043		52193688	
Prostaglandin PGE2 3-glyceryl ester	RJXVYMMSQBYEHN-UTNFEIGLSA-N					
Prostaglandin PGB2 glyceryl ester	FHFHTYWWDZUGTL-IBGZPJMESA-N					
N-retinylidene-N-retinylethanolamine	WPWFMRDPTDEJJA-UHFFFAOYSA-N					
iso-A2E(13-cis)	WPWFMRDPTDEJJA-UHFFFAOYSA-N					
iso-A2E(11-cis)	WPWFMRDPTDEJJA-UHFFFAOYSA-N					
iso-A2E(9-cis)	WPWFMRDPTDEJJA-UHFFFAOYSA-N					
iso-A2E(9,13-di-cis)	WPWFMRDPTDEJJA-UHFFFAOYSA-N					
9-cis-retinoyl-beta-D-glucuronide	MTGFYEHKPMOVNE-LUGHBPAASA-N	28870	HMDB03141	C11061	5281877	
4-oxo-9-cis-retinoyl-beta-glucuronide	XEIKLAKHCVSUMR-LUGHBPAASA-N					
iso-A2E(9'-cis)	WPWFMRDPTDEJJA-UHFFFAOYSA-N					
iso-A2E(11'-cis)	WPWFMRDPTDEJJA-UHFFFAOYSA-N					
somatostatin	NHXLMOGPVYXJNR-FMGBKAQLSA-N	64628			44291156	
Somatostatin fragment 3-14	TZTLCJNYBHBVBN-AFXJIWCMSA-N		HMDB13071		53481604	
kinetensin	PANUJGMSOSQAAY-WIPKCGCKSA-N		HMDB12988		147043	
kinetensin 1-3	JXUGDUWBMKIJDC-LMLFDSFASA-N		HMDB12983		53481564	
kinetensin 1-7	QMQIVQMAYCBWNH-CBNDDBNJSA-N		HMDB12984		53481565	
kinetensin 1-8	KLNGALQMFAURPH-VLOQVGJISA-N		HMDB12985		53481566	
kinetensin 4-8	CCANVONJZOLPKG-PNHLWVRCSA-N		HMDB12987		53481568	
neuromedin B	YPFNACALNKVZNK-VJHVQVMWSA-N		HMDB13018		53481579	
neuromedin B (1-3)	JVWPPCWUDRJGAE-JGVFFNPUSA-N		HMDB13016		53481577	
neuromedin B (4-10)	MVOFLIKDVHKCBK-NBJFSQTDSA-N		HMDB13017		53481578	
neuromedin N	NSLIVCMCAULZET-HPILBIDWSA-N		HMDB13022		53481583	
neuromedin N (1-4)	SKGLAZSLOGYCCA-QBRDCIPWSA-N		HMDB13021		53481582	
20-hydroxy-5S-HETE	IWYJGYZCHKEPCK-IBGZPJMESA-N					
histidyl-prolinamide	BVQMQRWLLWQCLL-RKDXNWHRSA-N					
5,9,11-trihydroxyprosta-6E,14Z-dien-1-oate	RZCPXIZGLPAGEV-PXWOONSHSA-N					
5-HT-moduline	IMIVWAUMTAIVPJ-MQYQWHSLSA-N					
8alpha-hydroxytocopherone	RGHRSULFYHBXJZ-YFVLFDEISA-N					
7,8-epoxy-8alpha-hydroperoxytocopherone	VVOOFISPFGUBEC-ILCUQXGXSA-N					
5,6-epoxy-alpha-tocopheryl quinone	XKMXNXGDIBTSKJ-DDONMMKFSA-N					
4alpha,5-epoxy-8alpha-hydroperoxytocopherone	FTDAVYLKBDZWCU-DGCSJVOTSA-N					
2,3-epoxy-alpha-tocopheryl quinone	HVYBSPVYLDVWGS-DDONMMKFSA-N					
13'-hydroxy-alpha-tocopherol	URYLCCKXLNXSRS-YPPOIOMDSA-N		HMDB12559		53481465	
13'-carboxy-alpha-tocopherol	NJIUWSABAIXPGI-HDNKMDRFSA-N		HMDB12555		53481461	
alpha-CEHC-glucuronide	ZYZYJRHWJQUARI-DRLIGIOESA-N					
gama-CEHC-glucuronide	WUOKWMDSDKXAQY-PKENLYCVSA-N					
N-acetyl-5-methoxykynuramine	RJQIZOKNUKRKTP-UHFFFAOYSA-N				390658	
L-leucyl-L-serine	XGDCYUQSFDQISZ-RQJHMYQMSA-N				40489070	
L-alanyl-L-leucine	RDIKFPRVLJLMER-RQJHMYQMSA-N				6992388	
N-acetyl-seryl-aspartyl-lysyl-proline	HJDRXEQUFWLOGJ-XGUBFFRZSA-N				14181658	
N-acetyl-seryl-aspartate	GFPWFSOXDSNMDC-RITPCOANSA-N					
lysyl-proline	AIXUQKMMBQJZCU-RKDXNWHRSA-N					
2-methylglutaconyl-CoA	CDVNWVJDESFYAB-RMXYAHQBSA-N					
pentyl radical	BFKVXNPJXXJUGQ-UHFFFAOYSA-N				123167	
13-oxo-9Z,11E-tridecadienoate	XHDHWGKEDVWKAN-UHFFFAOYSA-N				54469261	
octanoate radical	SZEXAAJOCGUGDC-UHFFFAOYSA-N					
12,13-epoxy-9-hydroperoxy-10E-octadecenoate	SZMWZFAMDRNPCL-UHFFFAOYSA-N					
9,11,15-trihydroxyprosta-5Z,13E-dien-1-oate	PXGPLTODNUVGFL-UAAPODJFSA-N	15553	HMDB01139	C00639	5283078	LMFA03010077
12-peroxy-5Z,8Z,10E,14Z-eicosatetraenoate	IKLCJACAFFHUDB-UHFFFAOYSA-N					
11,15-cyclo-12,14-cycloperoxy-8-hydroperoxy-5Z,9E-eicosadienoic	IWMASUQIBFLUFD-PXWOONSHSA-N					
8-peroxy-5Z,9E,11Z,14Z-eicosatetraenoate	YZVOYCQSOZKHEA-UHFFFAOYSA-N					
11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic acid	MZYZWZXTHYCVHQ-PXWOONSHSA-N					
5,9-cyclo-6,8-cycloperoxy-12-hydroperoxy-(10E,14Z)-eicosadienoic acid	KKEUQYWFAZBZHT-PFVVLILSSA-N					
5,9-cyclo-6,8,12-trihydroxy-(10E,14Z)-eicosadienoic acid	ZOCFIYOANZRNDX-PFVVLILSSA-N					
13,14-epoxy-retinol	HQOAEUUDHIWDFP-UHFFFAOYSA-N					
3(R)-hydroxy-pristanoyl-CoA	OQWHTSXXBMVROE-ALAIPQQLSA-N					
(2S,6R,10R)-trimethyl-hendecanoyl-CoA	QCNISQOYPUIJJO-ODOJEOJXSA-N		HMDB12471		53481419	
(2R,6R,10R)-trimethyl-hendecanoyl-CoA	QCNISQOYPUIJJO-ODOJEOJXSA-N					
(4R,8R,12R)-trimethyl-2E-tridecenoyl-CoA	XDRCVDXWYZRMDN-ZSWLGLJSSA-N		HMDB12480		53481434	
3-oxo-(4R,8R,12R)-trimethyl-tridecanoyl-CoA	KWSORACHQGPYFT-GVFMIWBJSA-N					
